code,cloud_amount
0,"No Cirrus, Cirrocumulus or Cirrostratus"
1,"Cirrus in the form of filaments, strands or hooks not progressively invading the sky. (Often called “Mares tails”)"
2,"Dense Cirrus, in patches or entangled sheaves, which usually do not increase and some-times seem to be the remains of the upper part of a Cumulonimbus; or Cirrus with sproutings in the form of small towers or battlements, or having the appearance of Cumuliform tufts."
3,"Dense Cirrus, often in the form of an anvil; either the remains of the upper parts of Cumulonimbus, or parts of distant Cumulonimbus, the Cumuliform portions of which cannot be seen."
4,"Cirrus in the form of hooks or of filaments, or both, progressively invading the sky; they generally become denser as a whole"
5,"Cirrus, often in bands converging towards one point or two points of the horizon, and Cirrostratus, or Cirrostratus alone; in either case, they are progressively invading the sky, and generally growing denser as a whole, but the continuous veil does not reach 45 degrees above the horizon."
6,"Cirrus, often in bands converging towards one point or two points of the horizon, and Cirrostratus, or Cirrostratus alone; in either case, they are progressively invading the sky, and generally growing denser as a whole, the continuous veil extends morethan 45 degrees above the horizon, without the sky being totally covered"
7,Veil of Cirrostratus completely covering the sky
8,Cirrostratus not progressively invading the sky and not completely covering the sky.
9,"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus, or both, but Cirrocumulus is the predominant cirriform cloud."
/,"Cirrus, Cirrocumulus and Cirrostratus are invisible owing to darkness, fog, blowing dust or sand or other similar phenomena, or more often, because of the presence of a continuous layer of lower clouds"
